pic_name,scene_type,object_name,relationship_with_user,color,orientation,location,brightness,shape,texture
scene_easy_1_1,bathroom,Floor A,left + down + near,beige,horizontal,bottom left,medium,rectangular,wooden grain + wood
scene_easy_1_1,bathroom,Toilet A,middle + down + near,white,facing forward,against the back wall,medium,rectangular with rounded bowl,smooth + ceramic
scene_easy_1_1,bathroom,Toilet Paper Holder A,right + center + near,white,facing forward,to the right of Toilet A,medium,cylindrical,smooth + paper
scene_easy_1_1,bathroom,Toilet Paper Stand A,right + down + near,white,vertical,to the right and slightly in front of Toilet A,medium,cylindrical,smooth + plastic and paper
scene_easy_1_11,Bathroom,Toilet A,middle + center + mid-range,white,facing toward the bottom of the image,center of the scene,medium,rectangular with rounded edges,smooth + porcelain
scene_easy_1_11,Bathroom,Toilet Brush Holder A,right + down + mid-range,white,standing upright,bottom right of the scene,medium,cylindrical,smooth + plastic or metal
scene_easy_1_11,Bathroom,Toilet Paper Holder A,right + up + mid-range,white,facing left,right side in the scene,medium,cylindrical,smooth + paper and metal
scene_easy_1_11,Bathroom,Toilet Paper Roll A,right + up + mid-range,white,attached to the holder,right side on the wall,medium,cylindrical,smooth + metal
scene_easy_1_6,bathroom,Plunger C,right + down + mid-range,white,vertical,right side of the scene,low,cylindrical,smooth + plastic and wood
scene_easy_1_6,bathroom,Toilet A,middle + center + mid-range,white,facing forward,center of the scene,low,rectangular with an oval seat,smooth + ceramic
scene_easy_1_6,bathroom,Toilet Paper Holder B,right + up + mid-range,white,vertical,right side of the scene,low,cylindrical,smooth + plastic
scene_easy_2_1,dining room,Chair A,left + center + mid-range,dark brown,facing the table,near the table,medium,rectangular,smooth with wood grain + wood
scene_easy_2_1,dining room,Chair B,center + center + mid-range,dark brown,facing the table,near the table,medium,rectangular,smooth with wood grain + wood
scene_easy_2_1,dining room,Chair C,right + center + mid-range,dark brown,facing the table,near the table,medium,rectangular,smooth with wood grain + wood
scene_easy_2_1,dining room,Table,center + center + mid-range,dark gray,horizontal,center of the scene,dark,rectangular,smooth + metal and wood
scene_easy_2_11,dining room,Chair A,left + center + mid-range,dark brown,front-facing,around the table,dim,rectangular,smooth + wood
scene_easy_2_11,dining room,Chair B,middle + center + mid-range,dark brown,front-facing,around the table,dim,rectangular,smooth + wood
scene_easy_2_11,dining room,Chair C,right + center + mid-range,dark brown,front-facing,around the table,dim,rectangular,smooth + wood
scene_easy_2_11,dining room,Table,middle + center + mid-range,black,horizontal,center,dim,rectangular,smooth + wood with painted surface
scene_easy_2_6,dining room,Chair A,left + center + mid-range,black,facing the table,left of the table,dark,rectangular,smooth + wood
scene_easy_2_6,dining room,Chair B,right + center + mid-range,black,facing the table,right of the table,dark,rectangular,smooth + wood
scene_easy_2_6,dining room,Chair C,middle + down + mid-range,black,facing the table,near the bottom of the table,dark,rectangular,smooth + wood
scene_easy_2_6,dining room,Table,middle + center + mid-range,black,horizontal,center in the scene,dark,rectangular,smooth + wood
scene_easy_3_1,kitchen,Coffee Machine A,left + center + mid-range,red and black,front facing,on the counter,dark,rectangular,smooth + metal
scene_easy_3_1,kitchen,Light A,center + up + mid-range,brown and white,upward,on the wall,dim,cylindrical,smooth + metal and glass
scene_easy_3_1,kitchen,Microwave A,right + center + mid-range,white,front facing,on the counter,dark,rectangular,smooth + metal and glass
scene_easy_3_1,kitchen,Tile Wall A,center + center + far,green and white,vertical,background,dim,rectangular,smooth + ceramic
scene_easy_3_1,kitchen,Toaster A,middle + center + mid-range,white,front facing,on the counter,dark,rectangular,smooth + plastic
scene_easy_3_11,kitchen,Cabinet E,middle + down + mid-range,white,front,under the counter,dim,rectangular,smooth + wood
scene_easy_3_11,kitchen,Coffee Machine A,left + up + mid-range,red,front,on the left side of the counter,dim,rectangular,smooth + metal
scene_easy_3_11,kitchen,Lamp D,left + up + mid-range,white and brown,downwards,above the coffee machine,bright,cylindrical,textile + fabric and metal
scene_easy_3_11,kitchen,Microwave C,right + up + mid-range,white,front,on the right side of the counter,dim,rectangular,smooth + metal and plastic
scene_easy_3_11,kitchen,Toaster B,middle + up + mid-range,white,front,on the center of the counter,dim,rectangular,smooth + plastic
scene_easy_3_6,kitchen,Cabinet,center + down + far,dark,sideways,bottom,dark,rectangular,smooth + wood
scene_easy_3_6,kitchen,Coffee Machine,left + center + far,red,sideways,left,dark,rectangular,smooth + metal
scene_easy_3_6,kitchen,Covered Tray,center + center + far,white,sideways,center,dark,rectangular,smooth + plastic
scene_easy_3_6,kitchen,Lamp A,top + up + far,white,upward,left,medium,cylindrical,smooth + glass
scene_easy_3_6,kitchen,Lamp B,top + up + far,white,upward,center,medium,cylindrical,smooth + glass
scene_easy_3_6,kitchen,Microwave,right + center + far,white,sideways,right,dark,rectangular,smooth + metal
scene_easy_3_6,kitchen,Wall Tiles,left + center + far,green,flat,background,dark,square,tiled + ceramic
scene_hard_1_1,dining room,Chair A,left + down + mid-range,dark brown,horizontal,left side of the table,dark,rectangular,smooth + wood
scene_hard_1_1,dining room,Chair B,middle + down + mid-range,dark brown,horizontal,back side of the table,dark,rectangular,smooth + wood
scene_hard_1_1,dining room,Chair C,right + down + mid-range,dark brown,horizontal,right side of the table,dark,rectangular,smooth + wood
scene_hard_1_1,dining room,Painting A,middle + up + far,dark colors,vertical,left wall,dim,rectangular,smooth + canvas and wood
scene_hard_1_1,dining room,Painting B,right + up + far,dark colors,vertical,right wall,dim,oval,smooth + canvas and wood
scene_hard_1_1,dining room,Table,middle + center + mid-range,dark brown,horizontal,center of the room,dark,rectangular,smooth + wood
scene_hard_1_11,dining room,Chair 1,left + down + mid-range,brown and blue,facing the table,around the table,dim,rectangular,smooth + wood and fabric
scene_hard_1_11,dining room,Chair 2,left + down + mid-range,brown and blue,facing the table,around the table,dim,rectangular,smooth + wood and fabric
scene_hard_1_11,dining room,Chair 3,right + down + mid-range,brown and blue,facing the table,around the table,dim,rectangular,smooth + wood and fabric
scene_hard_1_11,dining room,Chair 4,right + down + mid-range,brown and blue,facing the table,around the table,dim,rectangular,smooth + wood and fabric
scene_hard_1_11,dining room,Dining Table,center + down + mid-range,brown,horizontal,center of the room,dim,rectangular,smooth + wood
scene_hard_1_11,dining room,Painting 1,left + up + far,various,vertical,on the walls,dim,rectangular,smooth + canvas and frame
scene_hard_1_11,dining room,Painting 2,right + up + far,various,vertical,on the walls,dim,rectangular,smooth + canvas and frame
scene_hard_1_6,dining room,Chair A,middle + down + mid-range,blue,facing table,center,dark,rectangular,smooth + wood
scene_hard_1_6,dining room,Chair B,middle + down + mid-range,blue,facing table,center,dark,rectangular,smooth + wood
scene_hard_1_6,dining room,Dining Table,middle + center + mid-range,brown,horizontal,center,dark,rectangular,smooth + wood
scene_hard_1_6,dining room,Oval Mirror,middle + up + far,brown,vertical,far wall,dark,oval,smooth + wood
scene_hard_1_6,dining room,Picture Frame A,right + up + far,brown,vertical,right wall,dark,rectangular,smooth + wood
scene_hard_1_6,dining room,Picture Frame B,left + up + far,brown,vertical,left wall,dark,rectangular,smooth + wood
scene_hard_2_1,kitchen,Cabinet A,middle + center + mid-range,dark brown,stationary,middle left,dim,rectangular,smooth + wood
scene_hard_2_1,kitchen,Glass A,middle + up + mid-range,white,upright,top shelf left,bright,cylindrical,smooth + glass
scene_hard_2_1,kitchen,Glass B,middle + up + mid-range,white,upright,top shelf middle,bright,cylindrical,smooth + glass
scene_hard_2_1,kitchen,Glass C,middle + up + mid-range,white,upright,top shelf right,bright,cylindrical,smooth + glass
scene_hard_2_1,kitchen,Glass D,middle + center + mid-range,white,upright,second shelf,bright,cylindrical,smooth + glass
scene_hard_2_1,kitchen,Plate A,middle + center + mid-range,white,stacked,bottom shelf,bright,circular,smooth + ceramic
scene_hard_2_1,kitchen,Trash Bin A,left + down + mid-range,black,stationary,left corner,dim,cylindrical,smooth + plastic
scene_hard_2_1,kitchen,Wall Lamp A,right + up + mid-range,brown and cream,attached to wall,right wall,dim,complex,smooth + metal and fabric
scene_hard_2_11,dining room,Cabinet A,center + center + mid-range,brown,facing forward,center,dim,rectangular,smooth + wood
scene_hard_2_11,dining room,Glass A,left + up + mid-range,white,upright,on the top shelf,dim,cylindrical,smooth + glass
scene_hard_2_11,dining room,Glass B,middle + up + mid-range,white,upright,on the top shelf,dim,cylindrical,smooth + glass
scene_hard_2_11,dining room,Glass C,right + center + mid-range,white,upright,on the middle shelf,dim,cylindrical,smooth + glass
