pic_name,scene_type,object_name,relationship_with_user,color,orientation,location,brightness,shape,texture
scene_easy_1_1,bathroom,Toilet A,middle + center + mid-range,white,front-facing,center of the scene,dull,rectangular with rounded edges,smooth + ceramic or porcelain
scene_easy_1_1,bathroom,Toilet Paper Holder B,right + center + mid-range,gray,side-facing,right side of the toilet on the wall,dull,cylindrical,smooth + metal and paper
scene_easy_1_1,bathroom,Toilet Paper Stand C,right + down + mid-range,white and gray,upright,bottom right on the floor,dull,cylindrical,smooth + plastic or metal and paper
scene_easy_1_11,bathroom,Toilet A,middle + center + mid-range,white,forward,center of the scene,medium,rectangular,smooth + ceramic
scene_easy_1_11,bathroom,Toilet Paper Roll A,right + center + mid-range,white,forward,right side of the scene,medium,cylindrical,smooth + metal and paper
scene_easy_1_11,bathroom,Toilet Paper Stand A,right + down + mid-range,white,upward,"right side of the scene, near toilet",medium,cylindrical,smooth + metal and paper
scene_easy_1_6,bathroom,Toilet A,middle + center + mid-range,white,facing forward,center of the scene,dark,rectangular with round edges,smooth + ceramic
scene_easy_1_6,bathroom,Toilet Paper Holder B,right + up + mid-range,white,attached to wall,right side of the scene,dark,cylindrical,smooth + paper
scene_easy_1_6,bathroom,Toilet Paper Roll Stand C,right + down + mid-range,white,vertical,right side of the scene,dark,cylindrical,smooth + plastic with paper
scene_easy_2_1,dining room,Chair A,left + center + mid-range,brown,facing table,back left,dark,rectangular,smooth + wood
scene_easy_2_1,dining room,Chair B,middle + center + mid-range,brown,facing table,back center,dark,rectangular,smooth + wood
scene_easy_2_1,dining room,Chair C,right + center + mid-range,brown,facing table,back right,dark,rectangular,smooth + wood
scene_easy_2_1,dining room,Table,middle + center + mid-range,dark grey,horizontal,center,dark,rectangular,smooth + metal
scene_easy_2_11,dining room,Chair A,left + center + mid-range,brown,towards the table,corner of the scene,dark,rectangular with vertical slats,smooth + wood
scene_easy_2_11,dining room,Chair B,center + center + mid-range,brown,towards the table,corner of the scene,dark,rectangular with vertical slats,smooth + wood
scene_easy_2_11,dining room,Chair C,right + center + mid-range,brown,towards the table,corner of the scene,dark,rectangular with vertical slats,smooth + wood
scene_easy_2_11,dining room,Table,center + center + mid-range,black,horizontal,center of the scene,dark,rectangular,smooth + wood
scene_easy_2_6,dining room,Chair A,left + center + mid-range,black,facing center of table,left,dark,rectangular,smooth + wood
scene_easy_2_6,dining room,Chair B,middle + down + mid-range,black,facing center of table,center,dark,rectangular,smooth + wood
